qid,query,docno,score,rank,text
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_30_709623997,26.888587951660156,0,"a. All adults lose bone as they grow older, beginning between the ages of 30 and 40. b. Low calcium intakes during the growing years limits the bones' ability to attain peak bone mass. c."
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_64_431617227,25.5264949798584,1,"Humans typically build up bone mass until their 20’s or 30’s. At that point, both men and women begin to lose bone density as a normal part of aging. Weight-bearing exercise, proper calcium and vitamin D intake, and a healthy diet all help to minimize the normal bone density loss."
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_45_632929045,25.132102966308594,2,"Teens or young women, because as much as 90% of adult bone mass is achieved by age 18. Peak bone mass usually occurs in the late 20s. Women older than 30, because they typically lose bone mass and strength. Menopausal and postmenopausal women, because bone loss tends to accelerate as the body produces less estrogen."
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_45_623131157,25.044994354248047,3,"1. Losing bone density is a normal part of aging. We reach peak bone mass between ages 25 and 30, and then slowly lose begin to start losing bone mass at age 40. For women, reduced levels of estrogen after menopause accelerate bone density loss."
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_26_846132892,24.883846282958984,4,"If you don’t consume enough calcium and engage in physical activity as a child, you may not gain peak bone mass upon reaching adulthood. Women typically lose a large degree of bone mass after menopause while men begin losing bone mass after age 65, according to the ""Encyclopedia of Sports Medicine and Science.""."
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_02_77630808,24.883846282958984,5,"If you don’t consume enough calcium and engage in physical activity as a child, you may not gain peak bone mass upon reaching adulthood. Women typically lose a large degree of bone mass after menopause while men begin losing bone mass after age 65, according to the ""Encyclopedia of Sports Medicine and Science.""."
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_10_673115327,24.80916976928711,6,"by all means, take a supplement. For women, adult bone mass peaks at about age 30. With aging, bone lossgradually happens and then becomes increased after menopause. So it is important for young women to build good bone mass and for older women to do what they can to maintain it. How to Get Enough Calcium."
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_39_461879190,24.793546676635742,7,"Apparently, many of these drugs solve one problem only to create ten more. This brings to mind a concern for those who are taking drugs for osteoporosis. As we age, so does the structure of our bones. After the age of 40, adults begin to lose bone as the body’s ability to build up bone tissues decreases. Adults who have the most risk for bone loss include:"
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_13_136821179,24.747806549072266,8,"31
Osteoporosis. Shutterstock. After the age of 20, the body begins losing bone mass. Unfortunately, if you lose too much of this mass, you can develop osteoporosis, a condition that causes brittle and weak bones and can significantly contribute to your risk of falls and fractures."
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_40_137452930,24.741724014282227,9,"Bone mass reaches its peak during young adulthood. Then, after a period of stability, there is a slow but steady loss of bone beginning about age 40. In women, normal aging and menopause significantly increase susceptibility to osteoporosis."
